cluster,segment_name,recency,recency,recency,frequency,frequency,frequency,monetary,monetary,monetary,sentiment,sentiment,sentiment
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
0,💤 General/Hibernating (Group 0),1138.7011947569888,296.78290405318097,17242,1.081023083169006,0.33019906473889404,17242,182333.36373390557,160093.84564793028,17242,0.5151697656998103,0.06374196800954025,17242
1,💤 General/Hibernating (Group 1),153.05190461948393,94.83251992777465,147116,1.3131202588433617,0.7546753087106762,147116,199635.77840615567,181829.15874074382,147116,0.5124288320504891,0.04277129601616234,147116
2,🌱 Promising Newcomers (Satisfied),393.6673404562518,275.30916840141174,38093,1.097892001155068,0.3627328948275012,38093,165671.7907095792,136026.76241770855,38093,0.8799724322449621,0.08469074733292184,38093
3,🗯️ Negative Detractors,293.19911745149005,248.92497677819676,16543,1.1149126518769268,0.3766352769364926,16543,168381.39082995828,141026.69919784428,16543,0.06183730327516693,0.07487351217122533,16543
4,💤 General/Hibernating (Group 4),528.1501388337961,127.03927314572027,85714,1.1318221060736868,0.4272673581043287,85714,179863.04968849896,148961.63464678524,85714,0.5123904539679237,0.03702043974097259,85714
